5,30000000000000000,B
2,0,B
4,582793489194072239,B
13,0,B
38,0,B
0,0,B
3,38835731226722219,B
0,0,B
7,263661000000000000,B
0,0,B
3,0,B
0,0,B
4,116666956530572631,B
2,125265000000000,B
0,0,B
3,20000000000000000,B
0,0,B
34,270000000000000000,B
42,10000000000000000,B
3,100000000000000000,B
0,0,B
0,0,B
6,20000000000000000,B
0,0,B
5,7800000000009003,B
5,42000000000000000,B
36,1050000000000000,B
15,0,B
18,0,B
14,0,B
6,2045000000000000000,B
0,0,B
23,0,B
11,0,B
41,0,B
11,205558160593150483,B
3,4063916350077603,B
0,0,B
10,15000000000000000,B
0,0,B
0,0,B
29,0,B
16,0,B
0,0,B
26,0,B
28,0,B
6,0,B
4,0,B
2,1866651977822870,B
24,150643251849589947,B
0,0,B
17,151400000000000000,B
0,0,B
0,0,B
0,0,B
0,0,B
7,250000000000000000,B
8,32163388000000000,B
7,1000000000000000000,B
7,280000000000000000,B
4,52190000000000000,B
6,340000000000000000,B
3,1230790000000000000,B
0,0,B
40,0,B
18,1000000000000000000,B
0,0,B
0,0,B
0,0,B
0,0,B
0,0,B
25,10000000000000000,B
21,0,B
2,5000000000000000,B
0,0,B
0,0,B
0,0,B
0,0,B
12,24273985945242631,B
10,10000000000000000,B
0,0,B
0,0,B
0,0,B
0,0,B
15,0,B
0,0,B
38,0,B
0,0,B
12,1488862010000000000,B
0,0,B
10,1245298390000000000,B
3,73460052735053117,B
4,91500000000000000,B
4,260000000000000000,B
0,0,B
5,400000000000000,B
3,230000000000000000,B
0,0,B
16,1410000000000000000,B
11,0,B
0,0,B
3,499850000000000015,B
0,0,B
9,0,B
4,2100000000000000000,B
40,0,B
20,0,B
11,2000996000000000000,B
42,10000000000000000,B
0,0,B
35,0,B
0,0,B
5,20000000000000000,B
5,0,B
0,0,B
11,1038651802743371382,B
4,56310000000000000,B
0,0,B
0,0,B
0,0,B
0,0,B
4,3069647000000000000,B
25,13000000000000000,B
4,174800000000000000,B
20,20000000000000000,B
0,0,B
3,58000000000000000,B
8,0,B
12,0,B
6,0,B
11,201568861943572000,B
0,0,B
6,20000000000000000,B
3,0,B
32,0,B
0,0,B
0,0,B
30,100000000000000000,B
0,0,B
8,120000000000000000,B
1,0,B
0,0,B
0,0,B
